feature,lasso_importance,rf_importance,perm_importance_mean,lasso_n,rf_n,perm_n,combined_score
param_157,0.0,0.019505438169483632,0.01837367322140073,0.0,0.9664542288332552,1.0,0.7832271144166276
param_288,0.0,0.020182474852462936,-0.0012876681373661825,0.0,1.0,0.36893578558487183,0.6106807356754616
param_223,0.0,0.01269104116543897,0.009692818090686051,0.0,0.6288149128495131,0.7213731798073229,0.5308194103669533
param_905,0.0,0.017819832914393145,-0.005036238543325244,0.0,0.8829359652202678,0.24861903835737173,0.5160536941173455
param_647,0.0,0.015766565894264298,-0.003589371124477858,0.0,0.7812008194991136,0.29505871072645135,0.4791180229674922
param_1437,0.0,0.0123041276390536,0.0011221012382936824,0.0,0.6096441456758256,0.44628143511220403,0.438706503371574
param_1071,0.0,0.008606208241390854,0.010109531459349475,0.0,0.42641986695405737,0.7347483046186627,0.4336344248626275
param_1621,0.0,0.010910167515533928,0.003418345054480643,0.0,0.5405762967767317,0.519983288588314,0.42628313496486003
param_57,0.0,0.012462740335731358,-0.0014046587630009543,0.0,0.617503077637205,0.36518077233765917,0.41830577051990026
param_1384,0.0,0.01012259942418867,0.0027501792745117993,0.0,0.5015539223106414,0.49853737066536946,0.4003381723549315
param_1395,0.0,0.009043446704892065,0.003134878446545475,0.0,0.44808413096020594,0.5108849453478737,0.37730754908446507
param_438,0.0,0.007580212564074597,0.006790986591105419,0.0,0.3755838973905402,0.6282339589254586,0.37626213637290773
param_298,0.0,0.0063245927418441004,0.00589402256001168,0.0,0.31337052507573365,0.5994443717191716,0.3365185740536183
param_1125,0.0,0.011054143116096309,-0.007317442023149057,0.0,0.5477099908164798,0.1753999300754149,0.3264749744308644
param_2079,0.0,0.0070750688333697225,0.0023267932439066997,0.0,0.35055506745776166,0.48494807541217405,0.320761956352533
param_2241,0.0,0.0051347646744442305,0.007128443576022492,0.0,0.2544169985088631,0.6390652152064873,0.3189280638163777
param_968,0.0,0.008711731272646146,-0.0021093996501618363,0.0,0.43164831549798877,0.342560914098735,0.31859243197861487
param_1656,0.0,0.00534198344321729,0.005498165250679676,0.0,0.26468426108631515,0.5867386576289834,0.3083637278318526
param_1565,0.0,0.007326397620264881,0.0003727366928433229,0.0,0.36300789045060133,0.42222930461123404,0.30817273660867084
param_1610,0.0,0.00608767575784835,0.001818268343644247,0.0,0.3016317771903702,0.4686261032313918,0.29140371956460265
param_1030,0.0,0.00653020168797859,-0.0012082879818155368,0.0,0.32355802426190994,0.371483626781901,0.2732241001655253
param_2256,0.0,0.004297917666746505,0.0037133188696761186,0.0,0.2129529553815852,0.5294509752309836,0.2653117702600877
param_204,0.0,0.004206653544832318,0.00360476036795625,0.0,0.2084310063846786,0.5259666053522528,0.2620054847980151
param_670,0.0,0.008938190275911103,-0.011310383115040356,0.0,0.44286889200906626,0.04723968976522384,0.2356063529341003
param_835,0.0,0.003899055083033442,0.0012337257560181224,0.0,0.19319013706377178,0.4498642139929456,0.23155433272976955
param_1927,0.0,0.004614020221809394,-0.0007638925878977077,0.0,0.22861518498294223,0.38574725330845067,0.2300317684840063
param_1916,0.0,0.003203054803585465,0.0026593368888859327,0.0,0.15870475880685095,0.49562162968541745,0.22803886830905068
param_1651,0.0,0.0032564508524381406,0.0023829254400721256,0.0,0.16135042289131082,0.48674973378482295,0.2267001315811023
param_478,0.0,0.003910862781104552,0.000606550763134539,0.0,0.19377518414830558,0.4297339651476189,0.22580778161843845
param_315,0.0,0.003890326014981658,0.0005114792564318904,0.0,0.19275762974662686,0.4266824833287644,0.22438355987194275
param_2246,0.0,0.009035798407679296,-0.012782175755060554,0.0,0.4477051736089059,0.0,0.22385258680445294
param_1909,0.0,0.00269344493175261,0.003428716236466989,0.0,0.13345464079316913,0.5203161693258661,0.2228221711943444
param_1206,0.0,0.001953298846954262,0.005128586745319796,0.0,0.09678192893751553,0.5748764064786744,0.2208538864123601
param_318,0.0,0.003002003096435125,0.002238342656836467,0.0,0.14874306141245014,0.4821091032776943,0.21900426168953335
param_1105,0.0,0.003952871470292515,-0.0004641561647002579,0.0,0.19585662804926685,0.39536780396087895,0.2165386552128971
param_714,0.0,0.003047300599203712,0.0015749057339039974,0.0,0.15098745924273205,0.4608149660698235,0.21373821944231305
param_1396,0.0,0.0031874662683941393,0.0012004329373615842,0.0,0.1579323790414713,0.44879562431395176,0.21360487681492119
param_1296,0.0,0.0033787331182151153,0.0006221483775635805,0.0,0.1674092569377237,0.4302345971297814,0.21277500760779627
param_1483,0.0,0.003017952068773961,0.00146966404820128,0.0,0.14953330009504112,0.4574370550463675,0.2119977665614308
param_2396,0.0,0.004013651651925373,-0.001099586376222228,0.0,0.19886816068226507,0.37497258982301196,0.21192585728803612
param_1825,0.0,0.00425894366084252,-0.001902448214535779,0.0,0.21102187377792206,0.34920337265547063,0.21027194868560223
param_1741,0.0,0.0055223239362035825,-0.005526638860771427,0.0,0.2736197605384195,0.23287880551002782,0.2066735219222181
param_1943,0.0,0.0026120225922700874,0.0019564459135773316,0.0,0.1294203318158146,0.4730611475159331,0.20662851016268724
param_401,0.0,0.0020398350381882467,0.0032800569050872143,0.0,0.1010696187211807,0.5155446950677873,0.20519821788092654
param_2145,0.0,0.002850611290642902,0.0011151303145686465,0.0,0.14124190970043657,0.4460576914507714,0.2044382622854497
param_2200,0.0,0.0022751796367559015,0.002590205482412511,0.0,0.11273045815182837,0.4934027395333419,0.20438605093591675
param_476,0.0,0.0031443361908234362,0.00013291634418002296,0.0,0.15579537265915247,0.4145318623478411,0.20225724503392856
param_2219,0.0,0.003441496936453001,-0.0006754052094095631,0.0,0.17051907467299648,0.3885874063261071,0.20183575923433036
param_1292,0.0,0.0027829948463548673,0.0005885476377084142,0.0,0.13789165435354173,0.4291561241958372,0.19769266443552203
param_505,0.0,0.0033236791467265584,-0.0010790253171163444,0.0,0.16468144620633374,0.375632532009836,0.19503048270611767
param_292,0.0,0.002895439675898958,-9.985442156557056e-06,0.0,0.14346306372558754,0.4099451862972368,0.1947150877519648
param_1267,0.0,0.0028533440815755482,-1.7884440193904894e-05,0.0,0.14137731385441785,0.4096916545111726,0.1935961532805607
param_525,0.0,0.0024706009397286724,0.0008775658245528505,0.0,0.12241318063266045,0.43843265481013033,0.1927363867593693
param_2091,0.0,0.003970445216351694,-0.0030082177811269427,0.0,0.1967273709183969,0.3137118164014078,0.19247723037962078
param_2298,0.0,0.003081623373068616,-0.0008840766826892609,0.0,0.15268808189262056,0.3818897402333824,0.19091096301632499
param_723,0.0,0.001934292720031727,0.0018693906627223367,0.0,0.09584021455107516,0.4702669610721367,0.1890001955971786
param_1040,0.0,0.0036193929587429625,-0.0024683619777919885,0.0,0.17933345564413156,0.33103940724134356,0.18897854999446884
param_834,0.0,0.0025149334006462675,0.00035304528601858286,0.0,0.12460976262974814,0.42159727539451725,0.18878406393322925
param_832,0.0,0.003837343495001425,-0.003089515464421133,0.0,0.19013245516484023,0.31110242888782685,0.18839695624876818
param_534,0.0,0.002813253208663224,-0.0004985332036740786,0.0,0.13939089379417277,0.3942644143854643,0.18797477121272566
param_330,0.0,0.0020684950075586708,0.0013271967356684121,0.0,0.10248966108862737,0.4528643241719656,0.18710412779590335
param_1942,0.0,0.0023140952427791696,0.0006454294628187585,0.0,0.11465864616185921,0.430981843185338,0.186623876036531
param_341,0.0,0.002958649365131524,-0.0010458824621193408,0.0,0.14659497344898065,0.37669630834993967,0.1863063792294722
param_2018,0.0,0.002632738960146246,-0.00021756369147434284,0.0,0.130446785113916,0.4032826090882314,0.18620817528342742
param_1089,0.0,0.0017631028246983056,0.0020020063954392375,0.0,0.08735810833839083,0.47452348872500516,0.18603610078669697
param_2301,0.0,0.001376460185832302,0.0029759117358278742,0.0,0.06820076308254772,0.5057826382068388,0.18583517300332547
param_126,0.0,0.0014977687297397222,0.0026609944009325483,0.0,0.07421135121875028,0.4956748303556308,0.18580812471606437
param_981,0.0,0.0015282762231909645,0.0025458958345666804,0.0,0.07572293459364642,0.49198054597092905,0.18545563108810192
param_2227,0.0,0.0022076780589224978,0.0007848382378482955,0.0,0.10938589420083372,0.4354564050929549,0.18532986862830333
param_2252,0.0,0.0014405062515346536,0.0027350106857214397,0.0,0.07137411353488513,0.49805050899127995,0.18510220946482653
param_2251,0.0,0.002722607775962452,-0.0005733230812084544,0.0,0.13489959957166517,0.3918639059739978,0.18500897157803192
